lane,index,frame,bin,re,im
A,980,14,84,-1,0
A,981,14,85,-2,0
A,982,14,86,-4,0
A,983,14,87,1,0
A,984,14,88,-1,0
A,985,14,89,-2,0
A,986,14,90,-2,0
A,987,14,91,0,0
A,988,14,92,-2,0
A,989,14,93,0,0
A,990,14,94,-2,0
A,991,14,95,1,0
A,992,14,96,-2,0
A,993,14,97,0,0
A,994,14,98,-3,0
A,995,14,99,1,0
A,996,14,100,-3,0
A,997,14,101,1,0
A,998,14,102,-1,0
A,999,14,103,-1,0
A,1000,14,104,-3,0
A,1001,14,105,0,0
A,1002,14,106,-2,0
A,1003,14,107,0,0
A,1004,14,108,-3,0
A,1005,14,109,1,0
A,1006,14,110,1,0
A,1007,14,111,-2,0
A,1008,14,112,-2,0
A,1009,14,113,0,0
A,1010,14,114,-2,0
A,1011,14,115,0,0
A,1012,14,116,-3,0
A,1013,14,117,1,0
A,1014,14,118,0,0
A,1015,14,119,0,0
A,1016,14,120,-2,0
A,1017,14,121,1,0
A,1018,14,122,-1,0
A,1019,14,123,0,0
A,1020,14,124,-2,0
A,1021,14,125,1,0
A,1022,14,126,0,0
A,1023,14,127,0,0
A,1024,16,0,1,0
A,1025,16,1,2,0
A,1026,16,2,3,0
A,1027,16,3,-2,0
A,1028,16,4,2,0
A,1029,16,5,-1,0
A,1030,16,6,3,0
A,1031,16,7,0,0
A,1032,16,8,2,0
A,1033,16,9,0,0
A,1034,16,10,5,0
A,1035,16,11,-1,0
A,1036,16,12,3,0
A,1037,16,13,-1,0
A,1038,16,14,2,0
A,1039,16,15,1,0
A,1040,16,16,1,0
A,1041,16,17,-2,0
A,1042,16,18,2,0
A,1043,16,19,-2,0
A,1044,16,20,2,0
A,1045,16,21,-3,0
A,1046,16,22,0,0
A,1047,16,23,-1,0
A,1048,16,24,2,0
A,1049,16,25,-1,0
A,1050,16,26,2,0
A,1051,16,27,-2,0
A,1052,16,28,2,0
A,1053,16,29,-2,0
A,1054,16,30,1,0
A,1055,16,31,0,0
A,1056,16,32,2,0
A,1057,16,33,1,0
A,1058,16,34,4,0
A,1059,16,35,0,0
A,1060,16,36,3,0
A,1061,16,37,0,0
A,1062,16,38,2,0
A,1063,16,39,1,0
A,1064,16,40,3,0
A,1065,16,41,0,0
A,1066,16,42,5,0
A,1067,16,43,0,0
A,1068,16,44,4,0
A,1069,16,45,-1,0
A,1070,16,46,2,0
A,1071,16,47,1,0
A,1072,16,48,3,0
A,1073,16,49,3,0
A,1074,16,50,4,0
A,1075,16,51,0,0
A,1076,16,52,4,0
A,1077,16,53,1,0
A,1078,16,54,4,0
A,1079,16,55,1,0
A,1080,16,56,3,0
A,1081,16,57,2,0
A,1082,16,58,4,0
A,1083,16,59,1,0
A,1084,16,60,3,0
A,1085,16,61,0,0
A,1086,16,62,2,0
A,1087,16,63,2,0
A,1088,16,64,-1,0
A,1089,16,65,0,0
A,1090,16,66,1,0
